Transaction Date,Description,Amount
9/30/2024,Cash and Cash Equivalents,521957
9/30/2024,Cash and Cash Equivalents,1004046
9/30/2024,Cash and Cash Equivalents,0
9/30/2024,Cash and Cash Equivalents,143604
9/30/2024,Cash and Cash Equivalents,154892
9/30/2024,Cash and Cash Equivalents,396450
9/30/2024,Cash and Cash Equivalents,542410
9/30/2024,Cash and Cash Equivalents,2509265
9/30/2024,Cash and Cash Equivalents,2054345
9/30/2024,Cash and Cash Equivalents,0
9/30/2024,Cash and Cash Equivalents,186883
9/30/2024,Cash and Cash Equivalents,360144
9/30/2024,Cash and Cash Equivalents,9939
9/30/2024,Cash and Cash Equivalents,1110
9/30/2024,Cash and Cash Equivalents,733640
9/30/2024,Cash and Cash Equivalents,15421
9/30/2024,Cash and Cash Equivalents,1053040
9/30/2024,Cash and Cash Equivalents,149610
9/30/2024,Cash and Cash Equivalents,232378
9/30/2024,Cash and Cash Equivalents,156572
9/30/2024,Cash and Cash Equivalents,48430
9/30/2024,Cash and Cash Equivalents,198950.9
9/30/2024,Cash and Cash Equivalents,53118
9/30/2024,Cash and Cash Equivalents,3078612
9/30/2024,Cash and Cash Equivalents,206988
9/30/2024,Cash and Cash Equivalents,3521095.4
9/30/2024,Cash and Cash Equivalents,47330
9/30/2024,Cash and Cash Equivalents,374241
9/30/2024,Cash and Cash Equivalents,111499
9/30/2024,Cash and Cash Equivalents,174556
9/30/2024,Cash and Cash Equivalents,1938996
9/30/2024,Cash and Cash Equivalents,0
9/30/2024,Cash and Cash Equivalents,951698
9/30/2024,Cash and Cash Equivalents,142812
9/30/2024,Cash and Cash Equivalents,8169
9/30/2024,Cash and Cash Equivalents,1220343
9/30/2024,Cash and Cash Equivalents,1008926
9/30/2024,Cash and Cash Equivalents,28308
9/30/2024,Cash and Cash Equivalents,6317302
9/30/2024,Cash and Cash Equivalents,419481
9/30/2024,Cash and Cash Equivalents,10286
9/30/2024,Cash and Cash Equivalents,150.8
9/30/2024,Cash and Cash Equivalents,542757
9/30/2024,Cash and Cash Equivalents,1590160
9/30/2024,Cash and Cash Equivalents,2547399
9/30/2024,Cash and Cash Equivalents,120911
9/30/2024,Cash and Cash Equivalents,104341
9/30/2024,Cash and Cash Equivalents,79077
9/30/2024,Cash and Cash Equivalents,2815898
9/30/2024,Cash and Cash Equivalents,8923201
9/30/2024,Cash and Cash Equivalents,1147280
9/30/2024,Cash and Cash Equivalents,199620
9/30/2024,Cash and Cash Equivalents,307967
9/30/2024,Cash and Cash Equivalents,28045
9/30/2024,Cash and Cash Equivalents,1902918
9/30/2024,Cash and Cash Equivalents,3620564.7
9/30/2024,Cash and Cash Equivalents,17986
9/30/2024,Cash and Cash Equivalents,4856237
9/30/2024,Cash and Cash Equivalents,1152089
9/30/2024,Cash and Cash Equivalents,51244.3
9/30/2024,Cash and Cash Equivalents,2170733
9/30/2024,Cash and Cash Equivalents,1517681
9/30/2024,Cash and Cash Equivalents,0
9/30/2024,Cash and Cash Equivalents,1193125
9/30/2024,Cash and Cash Equivalents,531473
9/30/2024,Cash and Cash Equivalents,32556
9/30/2024,Cash and Cash Equivalents,9574
9/30/2024,Cash and Cash Equivalents,643848
9/30/2024,Cash and Cash Equivalents,117623
9/30/2024,Cash and Cash Equivalents,743
9/30/2024,Cash and Cash Equivalents,2254881
9/30/2024,Cash and Cash Equivalents,149221
9/30/2024,Cash and Cash Equivalents,258083
9/30/2024,Cash and Cash Equivalents,201742
9/30/2024,Cash and Cash Equivalents,1267991
9/30/2024,Cash and Cash Equivalents,335000
9/30/2024,Cash and Cash Equivalents,1184375
9/30/2024,Cash and Cash Equivalents,3247729
9/30/2024,Cash and Cash Equivalents,151407
9/30/2024,Cash and Cash Equivalents,2094129
9/30/2024,Cash and Cash Equivalents,1010039
9/30/2024,Cash and Cash Equivalents,3753013
9/30/2024,Cash and Cash Equivalents,36230
9/30/2024,Cash and Cash Equivalents,5038961
9/30/2024,Cash and Cash Equivalents,0
9/30/2024,Cash and Cash Equivalents,1418669
9/30/2024,Cash and Cash Equivalents,0
9/30/2024,Cash and Cash Equivalents,147326
9/30/2024,Cash and Cash Equivalents,2370894
9/30/2024,Cash and Cash Equivalents,218037.6
9/30/2024,Cash and Cash Equivalents,1749819
9/30/2024,Cash and Cash Equivalents,1384284
9/30/2024,Cash and Cash Equivalents,1368901
9/30/2024,Cash and Cash Equivalents,97237
9/30/2024,Cash and Cash Equivalents,574775
9/30/2024,Cash and Cash Equivalents,7802
9/30/2024,Cash and Cash Equivalents,2004930
9/30/2024,Cash and Cash Equivalents,1963598
9/30/2024,Cash and Cash Equivalents,119909
9/30/2024,Cash and Cash Equivalents,321692
9/30/2024,Cash and Cash Equivalents,148468
9/30/2024,Cash and Cash Equivalents,451796
9/30/2024,Cash and Cash Equivalents,22000
9/30/2024,Cash and Cash Equivalents,32629
9/30/2024,Cash and Cash Equivalents,249
9/30/2024,Cash and Cash Equivalents,92620
9/30/2024,Cash and Cash Equivalents,119877
9/30/2024,Cash and Cash Equivalents,4698149
9/30/2024,Cash and Cash Equivalents,370324
9/30/2024,Cash and Cash Equivalents,121102
9/30/2024,Cash and Cash Equivalents,172519
9/30/2024,Cash and Cash Equivalents,107828
9/30/2024,Cash and Cash Equivalents,46167
9/30/2024,Cash and Cash Equivalents,46150
9/30/2024,Cash and Cash Equivalents,132330
9/30/2024,Cash and Cash Equivalents,25408
9/30/2024,Cash and Cash Equivalents,1161938
9/30/2024,Cash and Cash Equivalents,149659
9/30/2024,Cash and Cash Equivalents,1919144
9/30/2024,Cash and Cash Equivalents,58566
9/30/2024,Cash and Cash Equivalents,40839
9/30/2024,Cash and Cash Equivalents,9284603
9/30/2024,Cash and Cash Equivalents,67063
9/30/2024,Cash and Cash Equivalents,130442
9/30/2024,Cash and Cash Equivalents,291895
9/30/2024,Cash and Cash Equivalents,210422
9/30/2024,Cash and Cash Equivalents,830551
9/30/2024,Cash and Cash Equivalents,396826
9/30/2024,Cash and Cash Equivalents,241836
9/30/2024,Cash and Cash Equivalents,167754
9/30/2024,Cash and Cash Equivalents,75831
9/30/2024,Cash and Cash Equivalents,7850
9/30/2024,Cash and Cash Equivalents,57752
9/30/2024,Cash and Cash Equivalents,3144995
9/30/2024,Cash and Cash Equivalents,7056
9/30/2024,Cash and Cash Equivalents,11094
9/30/2024,Cash and Cash Equivalents,17849
9/30/2024,Cash and Cash Equivalents,345301
9/30/2024,Cash and Cash Equivalents,148738
9/30/2024,Cash and Cash Equivalents,420707
9/30/2024,Cash and Cash Equivalents,143537
9/30/2024,Cash and Cash Equivalents,535957
9/30/2024,Cash and Cash Equivalents,149481
9/30/2024,Cash and Cash Equivalents,23932
9/30/2024,Cash and Cash Equivalents,2512689
9/30/2024,Cash and Cash Equivalents,429912
9/30/2024,Cash and Cash Equivalents,468680
9/30/2024,Cash and Cash Equivalents,457812
9/30/2024,Cash and Cash Equivalents,2102515
9/30/2024,Cash and Cash Equivalents,484475
9/30/2024,Cash and Cash Equivalents,102299
9/30/2024,Cash and Cash Equivalents,245
9/30/2024,Cash and Cash Equivalents,296371
9/30/2024,Cash and Cash Equivalents,389884
9/30/2024,Cash and Cash Equivalents,164727
9/30/2024,Cash and Cash Equivalents,449910.7
9/30/2024,Cash and Cash Equivalents,83529
9/30/2024,Cash and Cash Equivalents,1
9/30/2024,Cash and Cash Equivalents,366953
9/30/2024,Cash and Cash Equivalents,495542
9/30/2024,Cash and Cash Equivalents,2001835
9/30/2024,Cash and Cash Equivalents,273091
9/30/2024,Cash and Cash Equivalents,165119
9/30/2024,Cash and Cash Equivalents,2182156
9/30/2024,Cash and Cash Equivalents,2499484
9/30/2024,Cash and Cash Equivalents,379732
9/30/2024,Cash and Cash Equivalents,134714
9/30/2024,Cash and Cash Equivalents,0
9/30/2024,Cash and Cash Equivalents,1009515
9/30/2024,Cash and Cash Equivalents,386415
9/30/2024,Cash and Cash Equivalents,895261
9/30/2024,Cash and Cash Equivalents,41727
9/30/2024,Cash and Cash Equivalents,27364
9/30/2024,Cash and Cash Equivalents,3649919
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,4999236
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,987190
9/30/2024,Investment,0
9/30/2024,Investment,76696
9/30/2024,Investment,0
9/30/2024,Investment,6384679
9/30/2024,Investment,849410
9/30/2024,Investment,11184395
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,517481
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,1546473
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,3675378
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,410802
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,1817953.8
9/30/2024,Investment,2000
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,251326
9/30/2024,Investment,0
9/30/2024,Investment,19156898
9/30/2024,Investment,28763343
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,8726
9/30/2024,Investment,6885
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,89122
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,14084518
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,2740850
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,2713
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,1253320
9/30/2024,Investment,319683
9/30/2024,Investment,1631709
9/30/2024,Investment,2600
9/30/2024,Investment,0
9/30/2024,Investment,5136749
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,363725
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,6643461
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,58961
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,260015
9/30/2024,Investment,308512
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,312995
9/30/2024,Investment,315406
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,6280279
9/30/2024,Investment,102866
9/30/2024,Investment,0
9/30/2024,Investment,2122660
9/30/2024,Investment,0
9/30/2024,Investment,99367
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,629888
9/30/2024,Investment,0
9/30/2024,Investment,79283
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,408118
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,1034649
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,500000
9/30/2024,Investment,119116
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,181718
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Investment,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,90214
9/30/2024,Net Receivables,2099285
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,2542640
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,1500
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,173333
9/30/2024,Net Receivables,500
9/30/2024,Net Receivables,341638
9/30/2024,Net Receivables,75000
9/30/2024,Net Receivables,9314250
9/30/2024,Net Receivables,3856264
9/30/2024,Net Receivables,10521
9/30/2024,Net Receivables,89350024
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,906066
9/30/2024,Net Receivables,21972
9/30/2024,Net Receivables,3425289
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,184369
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,1750890
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,335323
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,63278
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,620708
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,5408
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,0
9/30/2024,Net Receivables,5401460
9/30/2024,Net Receivables,10900
9/30/2024,Net Receivables,0
