Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Clayton Local Development Corporation,9/30/2024,9939.0,0.0,10900.0,100.0,20939.0,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774.0,22713.0,3042.0,0.0,0.0,0.0,0.0,0.0,0.0,3042.0,0.0,0.0,0.0,0.0,0.0,0.0,3042.0,0.0,0.0,19671.0,19671.0,48500.0,0.0,2.0,48502.0,0.0,0.0,49349.0,0.0,0.0,0.0,49349.0,-847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-847.0,0.0,-847.0,20518.0,0.0,19671.0,22713.0,OK
Columbia County Capital Resource Corporation,9/30/2024,1110.0,0.0,0.0,0.0,1110.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,1216.0,0.0,0.0,5000.0,5000.0,0.0,0.0,3000.0,60.0,0.0,1315.0,4375.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,625.0,591.0,0.0,1216.0,1216.0,OK
Columbia Economic Development Corporation,9/30/2024,733640.0,410802.0,645723.0,0.0,1790165.0,507622.0,2074746.0,210591.0,232900.0,50423.0,0.0,41194.0,242129.0,3035088.0,4825253.0,26704.0,0.0,0.0,16575.0,109809.0,163768.0,32348.0,349204.0,0.0,0.0,1060843.0,189990.0,474696.0,1725529.0,2074733.0,-5718.0,647564.0,2108674.0,2750520.0,40000.0,85886.0,555216.0,681102.0,565163.0,0.0,204331.0,104118.0,41937.0,234914.0,1150463.0,-469361.0,40300.0,0.0,0.0,460000.0,0.0,0.0,500300.0,14935.0,0.0,0.0,0.0,14935.0,16004.0,0.0,16004.0,2734516.0,0.0,2750520.0,4825253.0,OK
Columbia Tobacco Asset Securitization Corporation,9/30/2024,15421.0,0.0,949662.0,2233.0,967316.0,1030231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030231.0,1997547.0,13206.0,0.0,0.0,23732.0,0.0,0.0,0.0,36938.0,0.0,0.0,22116959.0,0.0,-43893.0,22073066.0,22110004.0,0.0,0.0,-20112457.0,-20112457.0,0.0,0.0,935163.0,935163.0,0.0,0.0,7250.0,0.0,5859.0,29996.0,43105.0,892058.0,58938.0,0.0,0.0,0.0,0.0,0.0,58938.0,0.0,0.0,0.0,1467030.0,1467030.0,-516034.0,0.0,-516034.0,-19596423.0,0.0,-20112457.0,1997547.0,OK
Cortland County Business Development Corporation,9/30/2024,1053040.0,0.0,93024.0,71474.0,1217538.0,0.0,20620.0,0.0,0.0,25570.0,0.0,23099.0,2471.0,23091.0,1240629.0,19041.0,0.0,0.0,2722.0,17967.0,0.0,0.0,39730.0,0.0,0.0,0.0,0.0,0.0,0.0,39730.0,0.0,799693.0,401206.0,1200899.0,0.0,19559.0,77000.0,96559.0,296392.0,83844.0,26532.0,66783.0,1504.0,258983.0,734038.0,-637479.0,0.0,0.0,0.0,680693.0,0.0,0.0,680693.0,0.0,0.0,0.0,0.0,0.0,43214.0,0.0,43214.0,1157685.0,0.0,1200899.0,1240629.0,OK
Cortland County Development Corporation,9/30/2024,149610.0,0.0,0.0,0.0,149610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149610.0,149610.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,1350.0,-1350.0,102.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,-1248.0,0.0,-1248.0,150858.0,0.0,149610.0,149610.0,OK
Cortland Tobacco Asset Securitization Corporation,9/30/2024,232378.0,0.0,0.0,4285.0,236663.0,811040.0,638984.0,0.0,0.0,0.0,0.0,0.0,0.0,1450024.0,1686687.0,0.0,0.0,0.0,18794.0,0.0,375249.0,0.0,394043.0,0.0,0.0,12401832.0,0.0,0.0,12401832.0,12795875.0,0.0,811040.0,-11920228.0,-11109188.0,544081.0,0.0,0.0,544081.0,0.0,0.0,30914.0,0.0,0.0,15437.0,46351.0,497730.0,53930.0,0.0,0.0,0.0,0.0,0.0,53930.0,796691.0,0.0,0.0,0.0,796691.0,-245031.0,0.0,-245031.0,-10864157.0,0.0,-11109188.0,1686687.0,OK
Counties of Warren and Washington Civic Development Corporation,9/30/2024,156572.0,0.0,0.0,0.0,156572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156572.0,67200.0,0.0,0.0,0.0,22400.0,0.0,0.0,89600.0,0.0,0.0,0.0,0.0,0.0,0.0,89600.0,0.0,0.0,66972.0,66972.0,7500.0,0.0,0.0,7500.0,0.0,0.0,2205.0,0.0,0.0,750000.0,752205.0,-744705.0,13703.0,0.0,0.0,0.0,0.0,0.0,13703.0,0.0,0.0,0.0,0.0,0.0,-731002.0,0.0,-731002.0,797974.0,0.0,66972.0,156572.0,OK
Delaware County Local Development Corporation,9/30/2024,48430.0,0.0,753249.0,0.0,801679.0,1466839.0,2683441.0,0.0,407000.0,0.0,0.0,0.0,407000.0,4557280.0,5358959.0,225.0,0.0,0.0,3476.0,0.0,400962.0,86178.0,490841.0,0.0,0.0,0.0,0.0,2312997.0,2312997.0,2803838.0,0.0,1423276.0,1131845.0,2555121.0,0.0,114557.0,205450.0,320007.0,0.0,0.0,26046.0,0.0,0.0,214351.0,240397.0,79610.0,1602.0,1009363.0,0.0,0.0,0.0,0.0,1010965.0,0.0,0.0,827317.0,0.0,827317.0,263258.0,0.0,263258.0,2291863.0,0.0,2555121.0,5358959.0,OK
Development Chenango Corporation,9/30/2024,198950.9,1817953.8,15830.5,1319.8,2034055.0,0.0,722271.5,0.0,0.0,1139155.7,0.0,186891.8,952263.9,1674535.4,3708590.4,27745.1,0.0,0.0,0.0,0.0,0.0,10806.6,38551.7,0.0,0.0,0.0,0.0,129539.1,129539.1,168090.8,0.0,0.0,3540499.7,3540499.7,172823.1,54039.1,15852.6,242714.7,0.0,0.0,164029.7,0.0,0.0,100804.7,264834.4,-22119.7,179316.3,0.0,0.0,0.0,0.0,42000.0,221316.3,15929.5,0.0,0.0,80551.8,96481.3,102715.3,0.0,102715.3,3437759.4,25.0,3540499.7,3708590.4,OK
Dobbs Ferry Local Development Corporation,9/30/2024,53118.0,2000.0,0.0,0.0,55118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55118.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,54546.0,54546.0,0.0,2000.0,0.0,2000.0,0.0,0.0,7942.0,0.0,0.0,0.0,7942.0,-5942.0,1373.0,0.0,0.0,0.0,0.0,0.0,1373.0,0.0,0.0,0.0,0.0,0.0,-4569.0,0.0,-4569.0,59115.0,0.0,54546.0,55118.0,OK
Dutchess County Local Development Corporation,9/30/2024,3078612.0,0.0,3350.0,181999.0,3263961.0,0.0,0.0,570095.0,0.0,19997.0,0.0,0.0,19997.0,590092.0,3854053.0,78046.0,0.0,0.0,0.0,0.0,0.0,66223.0,144269.0,0.0,0.0,0.0,570292.0,0.0,570292.0,714561.0,-46423.0,0.0,3185915.0,3139492.0,613211.0,0.0,763818.0,1377029.0,475531.0,144166.0,227937.0,0.0,84293.0,245109.0,1177036.0,199993.0,90326.0,0.0,0.0,0.0,0.0,0.0,90326.0,29411.0,0.0,0.0,0.0,29411.0,260908.0,0.0,260908.0,2878584.0,0.0,3139492.0,3854053.0,OK
Dutchess County-Poughkeepsie Land Bank Corporation,9/30/2024,206988.0,0.0,130526.0,0.0,337514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337514.0,0.0,337514.0,0.0,0.0,0.0,0.0,28333.0,6853.0,23350.0,11370.0,0.0,6103.0,76009.0,-76009.0,0.0,62023.0,0.0,118000.0,0.0,1361.0,181384.0,0.0,0.0,0.0,0.0,0.0,105375.0,0.0,105375.0,232139.0,0.0,337514.0,337514.0,OK
Dutchess Tobacco Asset Securitization Corporation,9/30/2024,3521095.4,0.0,3700000.0,0.0,7221095.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7221095.4,0.0,0.0,0.0,191936.7,0.0,0.0,0.0,191936.7,0.0,0.0,54973091.8,0.0,10559626.4,65532718.2,65724654.9,0.0,7121157.7,-65624717.2,-58503559.5,0.0,0.0,3654253.9,3654253.9,0.0,0.0,0.0,0.0,0.0,60153.0,60153.0,3594100.8,218717.7,0.0,0.0,0.0,0.0,0.0,218717.7,2384810.3,0.0,0.0,0.0,2384810.3,1428008.3,0.0,1428008.3,-59931567.7,0.0,-58503559.5,7221095.4,OK
Seneca County Funding Corporation,9/30/2024,47330.0,0.0,0.0,0.0,47330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47330.0,47330.0,0.0,0.0,0.0,0.0,0.0,0.0,2950.0,0.0,0.0,0.0,2950.0,-2950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2950.0,0.0,-2950.0,50280.0,0.0,47330.0,47330.0,OK
Economic Development Corporation - Warren County,9/30/2024,374241.0,251326.0,66038.0,32710.0,724315.0,0.0,0.0,175946.0,130437.0,35385.0,59909.0,65186.0,160545.0,336491.0,1060806.0,4250.0,0.0,0.0,16576.0,61000.0,0.0,44011.0,125837.0,0.0,0.0,0.0,128040.0,0.0,128040.0,253877.0,0.0,569869.0,237060.0,806929.0,524000.0,0.0,99411.0,623411.0,368179.0,62080.0,96187.0,13872.0,6876.0,173884.0,721078.0,-97667.0,5233.0,14274.0,0.0,0.0,0.0,619.0,20126.0,0.0,0.0,0.0,0.0,0.0,-77541.0,0.0,-77541.0,884470.0,0.0,806929.0,1060806.0,OK
Energy Improvement Corporation,9/30/2024,111499.0,0.0,9173.0,5600.0,126272.0,880623.0,1681194.0,30000.0,0.0,0.0,0.0,0.0,0.0,2591817.0,2718089.0,705.0,0.0,0.0,113289.0,0.0,0.0,117876.0,231870.0,0.0,0.0,1607098.0,0.0,0.0,1607098.0,1838968.0,0.0,905623.0,-26502.0,879121.0,0.0,523060.0,0.0,523060.0,788138.0,132361.0,18573.0,0.0,0.0,230025.0,1169097.0,-646037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-646037.0,0.0,-646037.0,1525158.0,0.0,879121.0,2718089.0,OK
Erie Tobacco Asset Securitization Corporation,9/30/2024,174556.0,19156898.0,0.0,15000.0,19346454.0,672016.0,16150067.0,15111786.0,0.0,0.0,0.0,0.0,0.0,31933869.0,51280323.0,0.0,0.0,0.0,857000.0,0.0,0.0,0.0,857000.0,0.0,0.0,196994356.0,0.0,171406312.0,368400668.0,369257668.0,0.0,19828914.0,-337806259.0,-317977345.0,0.0,0.0,16330693.0,16330693.0,0.0,0.0,109149.0,0.0,0.0,0.0,109149.0,16221544.0,167.0,0.0,0.0,0.0,0.0,671958.0,672125.0,22502060.0,0.0,0.0,0.0,22502060.0,-5608391.0,0.0,-5608391.0,-312368954.0,0.0,-317977345.0,51280323.0,OK
ErieNet Local Development Corporation,9/30/2024,1938996.0,28763343.0,0.0,5415.0,30707754.0,1104616.0,0.0,0.0,3291403.0,0.0,0.0,0.0,3291403.0,4396019.0,35103773.0,1079296.0,0.0,0.0,3374.0,29867959.0,0.0,0.0,30950629.0,0.0,0.0,0.0,0.0,0.0,0.0,30950629.0,3291403.0,0.0,861741.0,4153144.0,0.0,0.0,230.0,230.0,131001.0,0.0,647646.0,0.0,0.0,61991.0,840638.0,-840408.0,860579.0,0.0,4132041.0,0.0,0.0,0.0,4992620.0,0.0,0.0,0.0,0.0,0.0,4152212.0,0.0,4152212.0,932.0,0.0,4153144.0,35103773.0,OK
Essex County Capital Resource Corporation,9/30/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK
Finger Lakes Horizon Economic Development Corporation,9/30/2024,951698.0,0.0,202310.0,53500.0,1207508.0,0.0,1415331.0,0.0,0.0,0.0,0.0,0.0,0.0,1415331.0,2622839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2622839.0,2622839.0,251290.0,0.0,56713.0,308003.0,0.0,0.0,166092.0,0.0,0.0,670.0,166762.0,141241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141241.0,0.0,141241.0,2481598.0,0.0,2622839.0,2622839.0,OK
Finger Lakes Regional Land Bank Corporation,9/30/2024,142812.0,8726.0,0.0,171.0,151709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151709.0,0.0,0.0,0.0,17765.0,39086.0,0.0,0.0,56851.0,0.0,0.0,0.0,0.0,0.0,0.0,56851.0,0.0,0.0,94858.0,94858.0,0.0,0.0,98400.0,98400.0,0.0,0.0,105304.0,0.0,0.0,33236.0,138540.0,-40140.0,0.0,94979.0,0.0,0.0,0.0,0.0,94979.0,0.0,0.0,0.0,0.0,0.0,54839.0,0.0,54839.0,40019.0,0.0,94858.0,151709.0,OK
Franklin County Civic Development Corporation,9/30/2024,8169.0,6885.0,15000.0,250.0,30304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30304.0,30304.0,24000.0,0.0,0.0,24000.0,0.0,0.0,1020.0,0.0,0.0,0.0,1020.0,22980.0,479.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,23459.0,0.0,23459.0,6845.0,0.0,30304.0,30304.0,OK
Franklin County Economic Development Corporation,9/30/2024,1220343.0,0.0,179480.0,529798.0,1929621.0,0.0,599280.0,0.0,0.0,21262.0,0.0,0.0,21262.0,620542.0,2550163.0,89929.0,0.0,0.0,0.0,20000.0,0.0,11133.0,121062.0,0.0,0.0,0.0,0.0,0.0,0.0,121062.0,0.0,0.0,2429101.0,2429101.0,96843.0,0.0,62718.0,159561.0,153283.0,37587.0,70070.0,52368.0,15475.0,81770.0,410553.0,-250992.0,39160.0,458212.0,0.0,0.0,0.0,25.0,497397.0,0.0,50000.0,310807.0,0.0,360807.0,-114402.0,0.0,-114402.0,2543503.0,0.0,2429101.0,2550163.0,OK
"Fulton County Center for Regional Growth, Inc.",9/30/2024,1008926.0,0.0,43667.0,1303.0,1053896.0,113423.0,0.0,34563.0,0.0,0.0,0.0,0.0,0.0,147986.0,1201882.0,7416.0,0.0,0.0,17500.0,27042.0,0.0,0.0,51958.0,0.0,0.0,0.0,0.0,0.0,0.0,51958.0,0.0,113423.0,1036501.0,1149924.0,556669.0,32560.0,39663.0,628892.0,342230.0,56208.0,33339.0,16321.0,4051.0,522486.0,974635.0,-345743.0,141961.0,0.0,223343.0,0.0,0.0,30000.0,395304.0,0.0,0.0,0.0,0.0,0.0,49561.0,0.0,49561.0,1100363.0,0.0,1149924.0,1201882.0,OK
Genesee County Funding Corporation,9/30/2024,28308.0,0.0,0.0,0.0,28308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28308.0,28308.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,-3000.0,354.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,-2646.0,0.0,-2646.0,30954.0,0.0,28308.0,28308.0,OK
Genesee Gateway Local Development Corporation,9/30/2024,6317302.0,0.0,1141744.0,3335.0,7462381.0,0.0,2802501.0,275000.0,3521964.0,7295219.0,0.0,2542264.0,8274919.0,11352420.0,18814801.0,58627.0,0.0,0.0,0.0,21773.0,246950.0,109944.0,437294.0,0.0,0.0,4181726.0,2482426.0,0.0,6664152.0,7101446.0,324279.0,674775.0,10714301.0,11713355.0,0.0,832528.0,1653883.0,2486411.0,0.0,0.0,156272.0,779.0,194101.0,1187289.0,1538441.0,947970.0,173939.0,0.0,0.0,0.0,0.0,0.0,173939.0,152021.0,0.0,0.0,0.0,152021.0,969888.0,0.0,969888.0,10743467.0,0.0,11713355.0,18814801.0,OK
Genesee Tobacco Asset Securitization Corporation,9/30/2024,419481.0,0.0,0.0,4660.0,424141.0,973619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973619.0,1397760.0,7809.0,0.0,0.0,60595.0,0.0,300000.0,0.0,368404.0,0.0,0.0,22161143.0,0.0,0.0,22161143.0,22529547.0,0.0,1397760.0,-22529547.0,-21131787.0,874204.0,0.0,0.0,874204.0,0.0,0.0,22227.0,0.0,0.0,1756.0,23983.0,850221.0,60904.0,0.0,0.0,0.0,0.0,0.0,60904.0,588636.0,0.0,0.0,806447.0,1395083.0,-483958.0,0.0,-483958.0,-20647829.0,0.0,-21131787.0,1397760.0,OK
Glen Cove Local Economic Assistance Corporation,9/30/2024,10286.0,89122.0,0.0,0.0,99408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99408.0,0.0,0.0,0.0,3500.0,2000.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,93908.0,93908.0,0.0,0.0,52000.0,52000.0,0.0,0.0,56510.0,0.0,0.0,0.0,56510.0,-4510.0,287.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,-4223.0,0.0,-4223.0,98131.0,0.0,93908.0,99408.0,OK
Glens Falls Civic Development Corporation,9/30/2024,150.8,0.0,0.0,0.0,150.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.8,0.0,150.8,0.0,0.0,7500.0,7500.0,0.0,0.0,7724.0,0.0,0.0,0.0,7724.0,-224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-224.0,0.0,-224.0,374.8,0.0,150.8,150.8,OK
Greater Glens Falls Local Development Corporation,9/30/2024,542757.0,0.0,107916.0,0.0,650673.0,0.0,11203.0,259943.0,1421164.0,0.0,329961.0,0.0,1751125.0,2022271.0,2672944.0,176036.0,0.0,0.0,0.0,0.0,0.0,7763.0,183799.0,0.0,0.0,0.0,0.0,125087.0,125087.0,308886.0,0.0,0.0,2364058.0,2364058.0,39588.0,0.0,1504.0,41092.0,16894.0,0.0,67633.0,0.0,0.0,18590.0,103117.0,-62025.0,0.0,153258.0,0.0,0.0,0.0,0.0,153258.0,1411.0,0.0,153258.0,65376.0,220045.0,-128812.0,0.0,-128812.0,2492870.0,0.0,2364058.0,2672944.0,OK
Greater Lockport Development Corporation,9/30/2024,1590160.0,0.0,145849.0,63863.0,1799872.0,0.0,0.0,0.0,0.0,4670118.0,0.0,0.0,4670118.0,4670118.0,6469990.0,250979.0,0.0,0.0,71728.0,6158.0,75000.0,0.0,403865.0,0.0,0.0,2860212.0,0.0,0.0,2860212.0,3264077.0,0.0,256783.0,2949130.0,3205913.0,0.0,1098747.0,369652.0,1468399.0,280997.0,0.0,94711.0,0.0,464980.0,614514.0,1455202.0,13197.0,0.0,253958.0,0.0,0.0,0.0,1723912.0,1977870.0,106853.0,0.0,2018319.0,21267.0,2146439.0,-155372.0,0.0,-155372.0,3417160.0,-55875.0,3205913.0,6469990.0,OK
Greater Syracuse Property Development Corporation,9/30/2024,2547399.0,0.0,583644.0,68367.0,3199410.0,606773.0,0.0,95687.0,607209.0,6735.0,0.0,0.0,613944.0,1316404.0,4515814.0,202401.0,0.0,0.0,43654.0,523479.0,0.0,122597.0,892131.0,0.0,0.0,0.0,0.0,0.0,0.0,892131.0,0.0,0.0,3623683.0,3623683.0,2834385.0,35270.0,1636561.0,4506216.0,704212.0,0.0,198447.0,52591.0,27133.0,3226185.0,4208568.0,297648.0,0.0,0.0,0.0,0.0,0.0,83158.0,83158.0,0.0,0.0,0.0,0.0,0.0,380806.0,7800.0,388606.0,3235077.0,0.0,3623683.0,4515814.0,OK
Greater Syracuse Soundstage Development Corporation,9/30/2024,120911.0,0.0,45000.0,2000.0,167911.0,0.0,0.0,0.0,1184000.0,6812381.0,0.0,0.0,7996381.0,7996381.0,8164292.0,291.0,0.0,0.0,10769.0,150000.0,170984.0,0.0,332044.0,0.0,0.0,0.0,0.0,0.0,0.0,332044.0,7825397.0,0.0,6851.0,7832248.0,0.0,65000.0,100.0,65100.0,0.0,0.0,13981.0,3870.0,234784.0,46929.0,299564.0,-234464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26222.0,0.0,0.0,0.0,26222.0,-260686.0,0.0,-260686.0,8092934.0,0.0,7832248.0,8164292.0,OK
Greene County Economic Development Corporation,9/30/2024,104341.0,0.0,30462.0,0.0,134803.0,0.0,193023.0,0.0,0.0,0.0,0.0,0.0,0.0,193023.0,327826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276709.0,51117.0,327826.0,0.0,0.0,33394.0,33394.0,0.0,0.0,8026.0,2322.0,0.0,4800.0,15148.0,18246.0,0.0,0.0,0.0,0.0,0.0,6310.0,6310.0,0.0,0.0,0.0,0.0,0.0,24556.0,0.0,24556.0,303270.0,0.0,327826.0,327826.0,OK
Greene Tobacco Asset Securitization Corporation,9/30/2024,79077.0,0.0,614086.0,196.0,693359.0,679164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679164.0,1372523.0,4000.0,0.0,0.0,0.0,0.0,0.0,33139.0,37139.0,0.0,0.0,15452220.0,0.0,0.0,15452220.0,15489359.0,0.0,0.0,-14116836.0,-14116836.0,6019.0,0.0,639097.0,645116.0,0.0,0.0,27519.0,0.0,0.0,1726.0,29245.0,615871.0,42919.0,0.0,0.0,0.0,0.0,0.0,42919.0,920334.0,0.0,0.0,0.0,920334.0,-261544.0,0.0,-261544.0,-13855292.0,0.0,-14116836.0,1372523.0,OK
Griffiss Local Development Corporation,9/30/2024,2815898.0,0.0,2790380.0,154035.0,5760313.0,0.0,3785771.0,1879461.0,3384099.0,44825517.0,7473038.0,32036311.0,23646343.0,29311575.0,35071888.0,593922.0,0.0,0.0,1572374.0,62571.0,820885.0,8889.0,3058641.0,0.0,0.0,10877787.0,0.0,697880.0,11575667.0,14634308.0,0.0,0.0,20437580.0,20437580.0,546528.0,3851839.0,35969.0,4434336.0,694772.0,232581.0,1376569.0,92699.0,2125617.0,1356526.0,5878764.0,-1444428.0,20410.0,657538.0,1465415.0,0.0,0.0,550442.0,2693805.0,457753.0,0.0,0.0,27430.0,485183.0,764194.0,0.0,764194.0,19673386.0,0.0,20437580.0,35071888.0,OK
Griffiss Utility Services Corporation,9/30/2024,8923201.0,14084518.0,881794.0,62874.0,23952387.0,9081592.0,0.0,737752.0,25651811.0,23551554.0,22050363.0,42233367.0,29020361.0,38839705.0,62792092.0,588397.0,0.0,0.0,183960.0,0.0,407798.0,0.0,1180155.0,0.0,474098.0,7559406.0,0.0,3727272.0,11760776.0,12940931.0,0.0,862684.0,48988477.0,49851161.0,9810201.0,0.0,48138.0,9858339.0,1607352.0,519000.0,299090.0,3978591.0,2059594.0,522388.0,8986015.0,872324.0,983475.0,0.0,0.0,0.0,0.0,345553.0,1329028.0,144926.0,125379.0,0.0,0.0,270305.0,1931047.0,0.0,1931047.0,48131632.0,-211518.0,49851161.0,62792092.0,OK
Hamburg New York Land Development Corporation,9/30/2024,1147280.0,0.0,0.0,0.0,1147280.0,0.0,0.0,0.0,547258.0,0.0,0.0,0.0,547258.0,547258.0,1694538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694538.0,1694538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27072.0,27072.0,-27072.0,48477.0,0.0,0.0,0.0,0.0,0.0,48477.0,0.0,0.0,0.0,0.0,0.0,21405.0,0.0,21405.0,1673133.0,0.0,1694538.0,1694538.0,OK
Herkimer Tobacco Asset Securitization Corporation,9/30/2024,199620.0,0.0,0.0,1235691.0,1435311.0,0.0,0.0,520106.0,0.0,0.0,0.0,0.0,0.0,520106.0,1955417.0,0.0,0.0,0.0,18125.0,0.0,0.0,300000.0,318125.0,0.0,0.0,0.0,0.0,26697545.0,26697545.0,27015670.0,0.0,1231406.0,-26291659.0,-25060253.0,0.0,81994.0,1052008.0,1134002.0,0.0,0.0,18150.0,0.0,0.0,1048916.0,1067066.0,66936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66936.0,0.0,66936.0,-24482950.0,-644239.0,-25060253.0,1955417.0,OK
