Transaction_date,Current assets: All the assets of a company that are expected to be sold or used as a result of standard business,Cost of goods sold: The total amount a company paid as a cost directly related to the sale of products,Depreciation and amortization: Depreciation refers to the loss of value of a tangible fixed asset over,"EBITDA: Earnings before interest, taxes, depreciation, and amortization. A measure of a company's overall",Inventory: The accounting of items and raw materials that a company either uses in production or sells,Net Income: The overall profitability of a company after all expenses and costs have been deducted from total,Total Receivables: The balance of money due to a firm for goods or services delivered or used but not yet paid for
7/29/2024,30.528,36.191,1.631,-1.371,18.887,-7.32,4.58
7/29/2024,81.527,10.057,6.431,7.195,4.016,-4.457,10.029
7/19/2024,3376.208,562.701,522.813,1315.968,0,452.053,1948.622
7/29/2024,3127.7,5976,106.8,420.7,1250.5,-673,134.2
7/29/2024,9694.135,9884.381,83.157,1688.383,5151.186,1211.242,0
7/29/2024,599.853,2519.21,25.826,56.919,341.851,-48.053,208.434
7/29/2024,781.3,4454,517.4,833.2,35.2,110.1,284.2
7/30/2024,2687,2334,2727,4277,401,40,1194
7/30/2024,293.57,545.949,18.25,64.916,276.6,23.75,0.249
7/30/2024,782.355,2070.631,112.247,430.167,0,153.905,571.541
7/30/2024,318.804,423.946,23.329,50.664,173.601,-1.72,126.829
7/30/2024,420.244,312.47,13.5,-60.272,80.36,-71.681,87.819
7/30/2024,43.829,24.615,4.026,-2.876,9.801,-11.382,6.865
7/30/2024,460.725,158.994,3.759,-141.024,0,-29.399,6.97
7/30/2024,3.115,1.001,0.043,-7.095,0,-58.511,2.479
7/30/2024,774.016,3765.551,447.455,525.52,0,-528.258,133.905
7/30/2024,465.377,1925.386,37.61,351.077,170.9,292.316,77.542
7/30/2024,2094,2915,261,975,595,549,1127
7/31/2024,30634,10704,1066,10814,2766,6434,3396
7/31/2024,3.345,3.603,0.082,0.575,0,0.329,1.044
7/31/2024,1039.4,1832.8,84.6,575.9,387.5,347.4,524.7
7/31/2024,11.671,16.333,0.196,-4.528,5.318,-5.409,3.915
7/31/2024,107.828,54.36,6.858,-28.806,0,-39.706,26.816
7/31/2024,0.389,1.214,0.03,-1.44,0,-2.483,0.042
7/31/2024,765.4,1434.2,52.3,151.6,411.7,73.9,295.3
7/31/2024,544.553,737.732,20.374,121.802,98.913,63.809,140.283
7/31/2024,31.044,96.578,7.275,16.903,5.413,20.188,17.291
7/31/2024,539.671,1806.578,13.44,56.432,61.617,22.773,463.487
7/31/2024,7.868,10.34,1.61,-6.011,4.345,-2.61,1.185
7/31/2024,1.506,1.904,0.207,-0.891,0.093,-2.16,0.018
7/31/2024,6.655,2.324,0.109,-5.139,2.106,-6.163,1.234
8/1/2024,274.294,570.265,22.219,52.608,126.311,31.702,97.588
8/1/2024,145.358,137.784,33.883,49.518,82.046,11.783,25.758
8/1/2024,520.6,1561.4,21.5,115.7,218.2,58.2,168.4
8/1/2024,10566,31288,1200,6545,4515,4688,4434
8/2/2024,4299,7117,227,9874,2331,6963,309
8/2/2024,468.536,717.874,151.986,546.582,0,376.66,313.301
8/2/2024,397.474,304.242,59.024,15.833,133.161,-45.505,126.618
8/2/2024,570.1,11434.7,136,411.8,221.5,213.6,138.8
8/2/2024,680.289,164.039,26.742,108.279,0,77.491,12.244
8/2/2024,29.535,8.403,0.317,5.672,16.036,-0.855,5.867
8/2/2024,88.678,23.441,3.487,-40.009,10.367,-51.675,27.801
8/2/2024,36.802,67.456,7.722,44.468,2.353,21.713,7.32
8/2/2024,0.522,0.484,0.003,-0.246,0.142,-0.25,0.156
8/2/2024,261.227,352.252,18.281,71.655,82.919,39.189,157.042
8/3/2024,1192.076,87.018,29.888,-122.596,0,1028.547,106.575
8/3/2024,1.487,5.262,3.519,0.074,0,-5.484,1.187
8/3/2024,36.374,111.922,1.579,8.81,16.362,3.966,16.906
8/3/2024,770.08,2633.332,85.701,281.777,198.543,233.436,206.985
8/3/2024,9733,4313,723,3823,2955,3553,2332
8/3/2024,8469.222,27012.277,818.9,5037.093,4579.033,3059.798,346.298
8/3/2024,810.699,1036.989,91.4,361.915,303.813,128.589,252.692
8/3/2024,6.011,9.251,0.801,-23.458,0.587,-24.572,1.574
8/3/2024,4234,5210,449,2481,316,471,585
8/3/2024,1794.399,5208.518,177.351,879.088,1589.542,532.357,4.111
8/3/2024,435.395,1250.656,68.884,187.64,303.466,100.96,35.123
8/3/2024,4.002,15.001,0.548,-11.098,0.221,-11.693,1.486
8/3/2024,1646,2839,40,291,0,192,315
8/3/2024,1302.479,463.898,54.727,521.291,55.641,400.235,439.009
8/3/2024,924.447,2534.491,79.25,222.981,275.292,77.461,461.648
8/3/2024,167.35,87.677,4.514,2.918,21.998,-5.695,107.157
8/3/2024,43.449,215.502,24.562,51.384,9.965,-54.847,21.497
8/3/2024,352.745,520.754,32.048,79.466,71.611,-3.9,121.886
8/4/2024,2719,1086,72,1201,1520,835,609
8/4/2024,2077.205,3889.899,131.144,377.879,589.005,138.506,749.484
8/4/2024,1184.132,3908.124,220.205,623.428,287.309,272.318,722.945
8/4/2024,6367.7,5200,1768.2,3391.6,2580.2,352.5,2881
8/4/2024,618.938,1179.968,166.2,371.866,130.083,175.402,359.365
8/4/2024,9583,15111,3131,8384,2394,2242,4059
8/4/2024,17846,98932,1770,8676,9565,5024,6573
8/4/2024,566.489,2869.644,110.896,150.196,240.056,61.431,162
8/4/2024,3759.5,1395.6,227,1025.8,2428,586.4,245.4
8/4/2024,144.824,41.474,16.081,54.464,0,-10.906,31.81
8/4/2024,130.131,1392.161,179.17,-1191.215,0,-1291.039,58.565
8/4/2024,51.535,127.251,10.612,16.589,17.216,4.142,30.535
8/4/2024,127.754,426.995,70.98,145.034,1.47,35.728,75.342
8/4/2024,1.416,0.784,0.008,-0.416,1.36,-0.468,0.033
8/5/2024,1090.9,706.6,275.1,802.1,468.8,139.9,374.7
8/5/2024,5136,8104,213,937,1110,340,2354
8/5/2024,46033,19948,6929,28318,8599,15297,14098
8/5/2024,16103,45146,1161,8616,2997,5046,11916
8/5/2024,2316.2,2428,138.2,1136.9,1278.7,751.9,714.3
8/5/2024,1253.895,1969.418,38.5,272.027,576.383,138.067,502.133
8/5/2024,163.844,61.021,3.67,51.838,8.304,31.903,66.486
8/5/2024,241.984,110.823,15.351,21.409,54.833,17.323,129.959
8/5/2024,366.349,362.994,23.154,24.236,273.045,-21.751,80.677
8/5/2024,319.446,105.642,1.567,-72.084,0,-67.698,0
8/5/2024,566.477,417.586,97.35,223.261,0,68.921,363.473
8/5/2024,866.536,3146.64,22.842,211.184,0,135.413,400.623
8/5/2024,173.199,125.364,33.189,130.484,0,141.001,110.354
8/5/2024,103.668,141.276,21.732,36.583,8.65,2.64,77.005
8/5/2024,105.088,231.052,11.367,20.334,6.09,1.228,76.429
8/5/2024,30.744,29.884,0.231,24.706,0,20.615,4.672
8/5/2024,9.47,1.757,1.848,-15.997,1.339,-10.188,0.578
8/5/2024,351.038,1828.168,42.767,12.729,0,-165.597,278.753
8/6/2024,7411,6371,1855,4591,2451,311,2319
8/6/2024,447.248,24.199,1.513,-180.124,39.032,-178.84,64.652
8/6/2024,19.8,86.758,2.885,0.884,0,-2.439,16.712
8/6/2024,696.593,1675.708,86.789,255.902,250.407,92.71,287.075
8/6/2024,5.783,1.118,0.731,-12.449,0.544,-13.368,0.374
8/6/2024,7.265,2.897,1.987,0.647,0,-3.797,0.421
8/6/2024,106.403,39.417,0.046,-13.653,0,-15.482,5.984
8/6/2024,73.458,356.312,62.824,67.77,0,-53.596,10.733
8/6/2024,135676,50520,9029,40421,1107,30736,21193
8/6/2024,277.9,815.4,36.1,123.6,131.6,36.4,117.6
8/6/2024,21.812,58.701,0.384,-2.874,3.233,-5.74,14.354
8/6/2024,3.511,0.714,0.113,-9.693,0,-9.599,0.063
8/6/2024,215.362,180.163,26.754,115.652,10.087,76.588,64.912
8/6/2024,441.423,225.039,11.07,-149.45,0,-176.061,11.371
8/7/2024,227.866,351.839,21.379,9.525,94.196,-69.335,86.448
8/7/2024,3450,3958,556,753,1025,-2811,1134
8/7/2024,3082.504,2096.789,167.958,766.275,443.383,220.434,1188.052
8/7/2024,18529,71043,1870,17647,13925,11121,1936
8/7/2024,3094,7930,1642,3607,548,1261,1615
8/7/2024,167.47,222.878,6.412,29.972,114.202,13.097,41.065
8/7/2024,867.7,1286.4,31.5,298.7,317.6,200.1,361.2
8/7/2024,183.239,30.976,3.946,-38.59,0,-43.084,60.994
8/7/2024,363.669,557.444,229.665,697.454,0,305.232,235.576
8/7/2024,128.54,60.479,4.871,17.018,58.571,9.654,19.586
8/7/2024,7.017,6.939,0.109,-6.844,0.052,-8.652,1.347
8/7/2024,49.644,6.356,2.07,-31.454,0,-32.506,3.888
8/8/2024,924.991,2335.206,582.354,1356.041,294.094,511.047,400.988
8/8/2024,12.381,24.188,1.257,1.601,4.106,1.76,5.284
8/8/2024,415.461,524.537,26.895,128.576,178.17,64.883,135.742
8/8/2024,9.99,9.803,1.442,-1.446,1.931,-4.742,4.925
8/8/2024,10213,37413,2278,8920,1732,3787,6799
8/8/2024,1804.17,1454.829,56.979,1340.598,277.705,993.004,484.562
8/8/2024,108.361,110.567,34.533,35.041,15.496,-20.728,27.975
8/8/2024,3378.463,296.027,52.43,-192.709,0,-275.577,469.658
8/9/2024,26.369,20.641,1.65,0.826,6.295,-5.709,19.079
8/9/2024,400.691,717.931,114.925,148.798,143.571,-61.617,195.136
8/9/2024,591.54,1477.984,202.705,369.409,232.453,33.906,214.518
8/9/2024,3.136,1.899,0.066,-1.16,0.261,-2.001,0.665
8/9/2024,443.075,693.334,50.313,137.873,112.535,41.899,166.858
8/9/2024,46.681,117.058,14.617,57.455,3.692,34.098,7.019
8/9/2024,1208.114,1793.954,639.514,1435.869,0,363.351,846.889
8/9/2024,1417.1,4648.7,258.3,529.7,839.7,-61.4,351.3
8/9/2024,16.411,0.156,0.271,-8.978,0,-9.5,0.039
8/9/2024,34.506,31.471,0.072,-9.549,11.483,-11.207,12.981
8/9/2024,366.303,673.271,18.425,33.572,318.272,-54.379,2.71
8/9/2024,169.871,58.621,3.609,-83.109,0,-89.118,46.188
8/10/2024,13608.3,25975.856,186.384,1397.861,3878.678,716.195,8945.463
8/10/2024,322.009,848.982,41.894,100.999,7.47,58.964,98.563
8/10/2024,3.301,7.682,0.44,3.097,0.963,-3.062,1.574
8/10/2024,5961,9001,488,2369,1783,1341,2845
8/10/2024,19.049,29.611,2.112,4.223,2.93,1.184,8.628
8/10/2024,932,361,160,288,0,-64,212
8/10/2024,704.697,1768.502,39.419,272.033,168.977,134.752,407.106
8/10/2024,19.709,19.514,1.161,2.993,0.353,1.399,8.89
8/10/2024,293.259,887.365,32.447,39.226,255.884,-5.998,0
8/10/2024,244.34,150.478,5.517,15.09,0,10.428,83.89
8/10/2024,42.192,43.579,3.156,3.022,13.631,-4.708,14.952
8/10/2024,156.759,514.232,94.456,152.499,6.759,-20.914,12.779
8/10/2024,474.008,608.382,24.176,140.347,7.753,99.588,78.925
8/10/2024,4310,7275,598,2321,1053,1182,1184
8/10/2024,19.787,9.669,0.029,-9.519,0,-7.288,1.504
8/10/2024,9.09,6.857,5.854,7.161,1.84,4.534,0.031
8/10/2024,13.063,0,0.719,-7.757,0.375,-10.108,1.231
8/10/2024,191.829,469.858,100.345,-8.421,34.649,-236.599,97.623
8/11/2024,3260,11502,1124,2710,811,1120,1897
8/11/2024,32.957,24.426,0.43,4.284,11.306,3.076,4.538
8/11/2024,598.4,1099.8,26.8,148.6,128.8,81.2,379.2
8/11/2024,61.198,25.526,1.343,-22.675,3.044,-7.967,0.871
8/11/2024,50.096,128.606,18.14,61.155,18.575,18.688,26.812
8/11/2024,890.09,957.448,153.937,108.846,296.015,-279.968,156.309
8/11/2024,31.914,54.37,4.181,-6.719,11.355,-9.24,16.102
8/11/2024,66.043,9.886,5.897,-17.751,5.406,-33.867,13.627
8/11/2024,0.126,0.097,0,-2.377,0.084,-6.006,0.011
8/11/2024,6.369,15.605,0.348,-33.319,2.533,-36.502,0.048
8/11/2024,2482.2,966.7,156.6,412.7,188.1,-324.4,382.4
8/12/2024,4.739,6.299,0.874,0.759,0.006,1.912,2.535
8/12/2024,5925,11182,774,1989,2856,693,2030
8/12/2024,602.185,1822.157,1150.461,1249.44,8.965,-1746.481,490.723
8/12/2024,29.144,34.747,1.025,5.367,15.15,3.498,10.586
8/12/2024,1.572,0.008,0.103,-1.862,0,7.647,0
8/12/2024,633.784,274.936,82.608,170.758,0,51.987,282.897
8/12/2024,44.24,60.885,0.494,-56.063,0,-55.672,0
8/12/2024,326.612,264.243,6.292,97.748,0,72.254,105.814
8/12/2024,130.978,63.764,10.769,7.596,1.708,-1.479,32.386
8/12/2024,1217.133,2533.385,213.483,517.575,0,370.067,267.784
8/12/2024,36.342,22.016,11.682,-1.338,10.774,-19.84,12.082
8/12/2024,10.377,12.767,0.521,-0.333,6.172,-1.339,2.654
8/12/2024,11068,42836,622,1554,5871,267,2367
8/12/2024,10.069,16.26,1.979,-0.313,0,-2.913,3.236
8/12/2024,461.286,179.809,15.646,56.759,71.414,3.292,76.672
8/12/2024,1548.426,134.115,275.729,330.434,55.29,-74.187,464.73
8/13/2024,2766,5466,150,1415,946,734,1167
8/13/2024,3.756,3.748,0.275,0.512,1.079,0.231,1.012
8/13/2024,306.013,134.658,3.747,-120.667,0,-118.871,7.039
8/13/2024,1064.622,76.231,29.657,203.372,0.797,137.065,7.376
8/13/2024,1127.2,701.2,77.2,273.4,153.6,247.2,197.1
8/13/2024,4.276,10.965,0.765,-10.879,0.007,-13.251,0.012
8/13/2024,7279,6319,690,901,2986,-31,2666
8/13/2024,1029.338,758.222,127.268,436.109,268.14,240.755,222.055
8/13/2024,21.194,78.578,8.708,5.146,5.402,0.736,12.642
8/13/2024,1015.8,1470.668,318.952,576.029,18.061,-218.24,711.397
8/13/2024,12.5,54.728,0.541,-5.43,0,-14.025,6.604
8/13/2024,1199.068,1186.511,37.05,284.869,0,240.256,402.337
8/14/2024,67.065,38.052,3.9,23.583,1.518,21.231,44.563
8/14/2024,397.41,689.115,15.556,1.326,128.123,-43.922,138.476
8/14/2024,3033,6072,177,331,805,-2687,1107
8/14/2024,23.535,26.412,1.155,4.903,12.085,2.795,6.705
8/14/2024,5.392,4.546,0.305,0.708,2.268,-0.161,1.722
8/14/2024,8.961,6.03,0.332,0.413,1.658,0.162,1.398
8/14/2024,33.473,12.355,3.705,14.949,0,15.444,3.188
8/14/2024,58.794,40.415,5.596,53.193,0.785,98.232,14.254
8/14/2024,1152.6,310.8,84.7,144.2,92.3,-46,217.5
8/14/2024,0.058,5.056,0.029,-5.009,0,-5.95,0.002
8/15/2024,1300.3,682.7,388.9,18.2,0,-347.4,259.9
8/15/2024,151.572,29.98,2.464,9.059,16.704,4.968,27.718
8/15/2024,533.421,1115.532,32.788,37.685,361.957,-109.205,139.16
8/15/2024,112.904,94.143,1.838,23.55,0,-67.965,81.647
8/15/2024,501.185,321.168,341.837,445.402,0,12.38,145.161
8/15/2024,661.7,753.1,50.8,159.5,233.1,88,249.3
8/15/2024,609.7,1711.218,42.689,193.182,12.416,112.903,545.12
8/15/2024,487.853,2602.88,52.64,184.3,321.025,74.328,21.124
8/15/2024,17.055,16.269,0.438,-0.82,10.98,-0.768,1.766
8/15/2024,314.724,754.767,15.418,82.291,92.359,44.512,134.624
8/15/2024,50480,5035,4320,29233,0,22112,7587
8/15/2024,1256.2,2896.6,1526.7,1955.7,82.4,-723,661.4
8/15/2024,10.851,10.186,0.718,-6.234,1.808,-5.76,2.261
8/15/2024,1.522,0.946,1.174,-3.717,0,-5.807,0.475
8/15/2024,23.875,2.702,1.78,6.509,1.988,1.088,11.11
8/16/2024,1115.55,1670.1,583.802,599.582,158.134,482.672,565.202
8/16/2024,218.5,667.7,5.4,7.9,134,-6.4,69
8/16/2024,212.627,51.466,11.535,-34.382,0,-43.465,35.514
8/16/2024,12.613,54.918,2.096,2.522,6.934,-0.349,4.427
8/16/2024,2827.835,1506.707,63.605,265.319,28.2,333.837,453.372
8/16/2024,331.615,784.755,34.393,158.5,170.549,73.248,122.778
8/16/2024,752.8,556.5,65.3,256.8,61.2,185.9,81.6
8/16/2024,5.438,10.332,0.069,0.722,3.523,0.509,1.433
8/16/2024,43.107,37.037,95.751,146.294,0,19.348,19.945
8/17/2024,883.284,1104.468,53.974,259.059,356.998,80.093,398.025
8/17/2024,49.137,34.809,1.457,4.816,16.163,2.827,15.859
8/17/2024,1415.72,106.837,35.787,-53.962,0,-77.042,343.924
8/17/2024,136.123,23.501,3.321,-73.925,24.085,-82.627,22.527
8/17/2024,1217.298,1492.787,47.199,214.535,427.823,123.594,275.908
8/17/2024,78.769,67.379,4.699,-51.237,0,-54.45,0.327
8/17/2024,207.674,119.178,1.239,-87.677,0,-106.289,6.785
8/17/2024,23.543,151.321,6.985,7.648,8.091,-2.218,9.165
8/17/2024,931.6,1475.9,82.5,619,280.3,434.9,340.3
8/18/2024,3940,9329,702,1828,1271,454,1802
8/18/2024,71.349,111.029,16.749,44.601,37.045,16.035,19.603
8/18/2024,1128.003,3116.21,124.97,353.997,969.561,156.894,0
8/18/2024,613.78,449.694,7.172,-355.307,0.869,-346.028,10.442
8/18/2024,757.146,330.605,25.183,95.407,166.997,39.059,270.98
8/18/2024,1763.8,4600.3,430.6,957,1014.4,221.1,582.7
8/18/2024,131.185,44.1,6.544,218.595,0,148.688,21.91
8/18/2024,0.078,0.018,0.138,-3.356,0,-6.308,0
8/18/2024,137.056,467.446,31.799,14.758,10.273,-94.422,113.899
8/19/2024,297.619,440.95,139.51,122.647,141.401,-48.405,29.744
8/19/2024,41.092,44.606,2.048,7.969,10.05,4.275,12.822
8/19/2024,219.312,61.679,6.451,45.682,22.888,20.396,34.842
8/19/2024,16945,5953,1765,14345,1605,5687,5872
8/19/2024,27.442,4.717,0.499,16.424,4.265,14.508,2.996
8/19/2024,0.653,3.554,0.225,-1.621,0.57,-5.626,0.006
8/19/2024,867,3280,138,228,197,-23,621
8/19/2024,355.426,307.06,15.891,-21.914,99.848,-19.342,136.084
8/19/2024,26.46,28.913,0.525,4.399,9.878,3.625,5.318
8/19/2024,948.6,2273.7,81.6,265.2,224.8,126,401.9
8/19/2024,4581.8,1697.9,210.6,809,80.6,566.9,754.6
8/19/2024,27.383,6.227,1.627,-20.308,7.282,-21.876,0.772
8/20/2024,4030.2,2419.5,151.8,1288.1,1097.3,502.1,2543
8/20/2024,18.916,74.646,3.477,1.611,5.817,-3.086,9.024
8/20/2024,291.98,956.924,52.658,49.004,3.878,-1.186,153.424
8/20/2024,588.322,1361.431,67.44,317.977,43.363,-205.706,307.642
8/20/2024,18.148,28.605,1.426,2.923,1.164,1.021,9.104
8/20/2024,0.032,0.018,1.042,-4.378,0,-5.515,0.02
8/20/2024,0.131,0.128,0,-0.969,0.006,-1.253,0.025
8/20/2024,896.141,1595.014,122.497,241.904,220.674,-99.25,437.161
8/20/2024,350.337,219.526,81.233,166.809,0,28.667,54.644
8/20/2024,14.69,43.14,1.841,-1.183,1.804,-5.222,12.261
8/20/2024,15.15,7.421,0.081,-7.283,0,-7.36,0
8/20/2024,8.719,24.511,0.44,-23.904,0.985,-81.152,0.917
8/20/2024,68.429,44.758,6.52,-41.252,10.244,-50.5,11.534
8/20/2024,2.117,11.198,0.08,-0.861,0,-2.615,0.124
8/21/2024,8118.7,5835.8,408.4,1088,0,633.5,5682.1
8/21/2024,784.8,1055.789,98.289,287.836,264.568,163.895,200.797
8/21/2024,14.266,23.959,1.709,4.943,4.271,2.239,4.293
8/21/2024,47.426,51.772,0.091,-18.186,0,-18.01,3.677
8/21/2024,466.513,995.238,70.408,201.544,265.186,77.772,186.991
8/21/2024,13.237,3.257,0.463,-18.551,2.24,-21.675,0.758
8/21/2024,84.473,164.807,18.405,22.993,9.827,-37.462,49.358
8/21/2024,39.11,55.241,4.733,10.853,13.885,3.717,11.247
8/21/2024,2338.577,6086.418,37.458,274.647,148.503,163.677,1932.628
8/21/2024,1.308,2.434,0.048,0.265,0.835,-0.216,0.294
8/21/2024,540.3,1375.1,50.8,180,284.7,23.4,192.5
8/21/2024,462.925,905.641,21.115,97.3,186.116,36.596,106.956
8/22/2024,1473.61,3326.013,65.949,653.169,0,434.288,794.446
8/22/2024,648.38,141.907,1.297,-139.751,0,-273.837,0.046
8/22/2024,1398.632,10329.776,428.557,2263.42,437.841,1151.703,818.958
8/22/2024,13274,20555,6336,15132,1007,6257,4067
8/22/2024,1491.962,3434.31,273.685,549.501,0,24.284,1256.731
8/22/2024,1053.735,1368.956,225.921,711.185,208.243,304.051,564.83
8/22/2024,249,587.3,45.8,145.2,12.1,73.6,172.9
8/22/2024,5.85,2.397,1.058,-7.165,0.173,-8.131,0
8/22/2024,915.244,2100.7,27.224,341.113,672.579,234.461,207.801
8/22/2024,28.665,6.876,0.436,-3.076,4.28,-3.654,3.452
8/22/2024,56.37,25.118,2.615,-9.906,9.622,-1.943,27.104
8/22/2024,82.589,68.817,65.201,67.262,2.112,-50.946,45.839
8/23/2024,159.84,1228.644,38.863,284.552,5.705,205.544,119.504
8/23/2024,1625.2,4717.5,445.1,1611.9,910.3,514.4,503.8
8/23/2024,232.189,329.305,31.972,99.775,31.42,50.933,45.031
8/23/2024,285.694,289.303,13.105,76.126,88.864,40.669,40.866
8/23/2024,0.007,0.07,0,-0.014,0,-0.019,0.002
8/23/2024,38.938,33.985,1.325,13.631,13.627,5.761,2.518
8/23/2024,118.198,245.106,12.594,49.775,97.685,23.156,4.639
8/23/2024,39.444,26.693,21.793,-28.908,0.496,-192.152,16.293
8/23/2024,0.958,0.194,0.024,-2.235,0.294,-2.157,0.139
8/23/2024,62.364,33.649,6.826,14.859,3.069,11.293,24.964
8/23/2024,71.308,28.341,2.724,-13.877,11.35,-6.515,29.418
5/23/2024,1520.831,828.376,99.13,145.809,299.028,-53.216,263.394
8/23/2024,0.281,0.247,0.017,0.003,0,0.268,0.005
8/23/2024,230.9,132.4,39.9,194.2,0,29.8,161.6
8/23/2024,1958.441,2480.173,135.48,455.961,496.535,140.196,989.418
8/23/2024,0.32,0.899,0,-0.423,0.16,-0.423,0.128
8/23/2024,0.044,1.593,0,-0.876,0,7.92,0
8/24/2024,976.447,1603.433,62.697,189.648,683.171,-5.441,196.597
8/24/2024,1016.76,1266.129,282.985,462.734,292.093,354.592,336.162
8/24/2024,84.978,215.363,45.334,63.394,30.152,7.621,18.428
8/24/2024,0.554,0.044,0.106,-0.771,0,-1.112,0.01
8/24/2024,179.499,4.975,1.875,-132.267,0.791,-132.738,4.861
8/24/2024,119.276,194.747,8.159,-160.459,11.974,-184.748,0
8/24/2024,173.324,162.805,3.683,-99.596,4.68,-120.548,5.924
8/24/2024,514.437,501.647,36.574,142.396,164.633,87.992,162.166
8/24/2024,6.508,8.334,0.186,-8.074,0,-4.925,0.358
8/24/2024,8.608,1.237,0.266,-7.605,0.28,-6.545,3.493
8/25/2024,2298,5066.6,176.9,964.9,651.4,467.4,1216.7
8/25/2024,2766.3,5977.2,826.8,2252.6,591.8,1116.5,871
8/25/2024,152.959,305.901,12.446,6.595,105.195,-21.384,42.542
8/25/2024,11823,20935,1085,4341,3224,2162,7065
8/25/2024,1464,4351,1725,3821,130,-155,996
8/25/2024,4635.869,4902.247,345.084,2479.365,3943.67,1337.536,258.136
8/25/2024,14.865,11.514,0.201,-10.761,0,0.896,0.018
8/25/2024,168.487,138.726,307.189,730.971,0,146.508,91.558
8/25/2024,151.103,370.167,14.585,27.86,59.168,12.283,77.391
8/25/2024,0.029,0.85,0.02,-0.66,0,-0.679,0.01
8/25/2024,1.226,2.433,0.087,0.068,0.517,-0.038,0.41
8/25/2024,1114.4,1673.1,113,537.4,364.3,333.8,561.8
8/25/2024,206.698,456.654,43.63,109.218,28.112,-6.293,82.732
8/25/2024,24.159,66.636,14.291,7.012,2.924,-10.546,8.636
8/25/2024,1355.057,1865.657,103.492,452.161,0,282.019,796.656
8/25/2024,2.414,8.472,0.604,-3.508,0,-11.417,2.082
8/25/2024,242.303,1447.933,55.213,-650.183,70.04,-717.963,49.335
8/25/2024,30.297,10.433,2.624,-14.225,1.736,-18.291,4.151
8/25/2024,108.501,128.834,8.296,18.156,64.933,7.301,35.967
8/25/2024,25.466,14.366,0.519,10.766,7.132,10.001,3.34
8/26/2024,2262.2,1629.1,299.2,1620.2,490.2,918.4,655.8
8/26/2024,3023,4302,326,929,806,-88,1378
8/26/2024,750.738,227.192,206.946,164.894,0,-873.303,219.381
8/26/2024,4830,12305,521,1537,2092,1115,1659
8/26/2024,5.803,1.518,1.033,0.147,0,-1.563,1.985
8/26/2024,1258.724,1497.19,148.632,463.916,316.418,160.894,465.939
8/26/2024,0.239,0.195,0.105,-1.315,0.043,-1.713,0.136
8/26/2024,76.285,76.492,3.454,21.265,17.102,15.325,12.14
8/26/2024,4.061,0.338,1.003,1.797,0,-0.421,2.388
8/26/2024,131.993,193.071,4.989,14.015,58.024,-13.177,47.822
8/26/2024,3733,4258,1311,3020,0,846,2042
8/26/2024,4.885,24.08,0.703,1.116,0,0.262,2.55
8/26/2024,62.213,49.315,0.637,8.575,0,2.371,15.808
8/27/2024,635.4,1398.9,346.7,1315.1,160.3,627.4,343.3
8/27/2024,635.9,1002.7,194.6,278.1,129.6,382.9,308.3
8/27/2024,19.058,26.553,0.556,8.584,4.143,6.266,6.253
8/27/2024,1367.3,1102.9,79.1,718.2,0,380.8,407.7
8/27/2024,67.288,41.514,21.347,34.481,0,-10.839,44.535
8/27/2024,398.149,591.848,74.579,140.995,4.53,58.148,210.709
8/27/2024,485.178,1276.526,91.2,134.866,235.218,35.613,21.394
8/27/2024,12.29,18.868,2.907,-15.998,3.261,-32.234,7.172
8/27/2024,739.5,1040.2,122.8,72.9,131.2,-124.1,289.1
8/28/2024,14632,11377,3278,7562,3796,2368,5182
8/28/2024,114649,130856,9280,16412,11220,3677,65812
8/28/2024,45243,160323,2718,13509,16450,-594,17631
8/28/2024,17.765,24.455,0.055,-23.227,0,-20.573,0.035
8/28/2024,2.905,3.056,1.443,-3.028,0,1.727,0
8/28/2024,4309,16047,447,738,824,-1685,2431
8/28/2024,4777,11184,646,2258,1277,1067,2795
8/28/2024,2432.6,1649.4,260.3,1252.2,673.8,397.5,339.9
8/28/2024,81.854,104.132,1.7,-76.273,3.597,-86.975,4.017
8/28/2024,0.749,2.668,0.03,0.04,0.413,-0.974,0.218
8/28/2024,34.01,22.226,8.976,21.593,0.9,8.404,21.963
8/28/2024,0.854,1.699,0.005,-2.889,0.403,-3.536,0.214
8/29/2024,731.046,1089.336,52.161,138.426,366.667,-51.93,132.39
8/29/2024,531.883,1369.494,74.787,220.985,157.178,93.377,255.736
8/29/2024,206.567,448.685,15.469,64.432,39.509,34.439,60.984
8/29/2024,5085.238,10258.592,459.3,2428.461,1621.304,1060.801,2473.916
8/29/2024,2.023,0.009,0.003,-5.033,0.01,-6.755,0.005
8/29/2024,220.175,231.481,2.442,-207.3,10.112,-232.569,2.715
8/29/2024,165.06,142.995,9.254,41.715,47.37,31.725,43.673
8/29/2024,3843.109,337.119,72.42,736.386,124.36,2096.896,409.688
8/29/2024,2902.2,2476.6,423.6,910,878,131,1093.6
8/29/2024,202.273,168.356,5.581,-153.942,0,-146.653,10
8/29/2024,321.673,754.025,4.219,42.708,0,38.062,151.597
8/29/2024,506.7,1824.5,90.1,28.5,343.8,-66.2,105.2
8/29/2024,0.046,0.037,0.034,-0.726,0,-0.906,0.016
8/29/2024,155.833,308.129,12.017,-20.261,64.562,-40.581,18.218
8/29/2024,393.732,2019.337,36.638,90.914,0,28.723,340.231
8/29/2024,76.549,0.252,2.383,-1.22,0,-12.372,31.091
